Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),116,General traffic,39,NA,Broker Login
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),56,General traffic,34,NA,Closer Twins Page Video Play
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),54,General traffic,138,NA,Form Submission
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),52,General traffic,17,NA,Get Approved
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),49,General traffic,47,NA,Home Page Video Play
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),46,General traffic,19,NA,Learn More (Closer Twins Banner)
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),45,General traffic,4,NA,Learn More (Community Mortgage)
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),44,General traffic,151,NA,Learn More (Our Story)
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),44,General traffic,35,NA,Start Closing More
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),41,General traffic,181,NA,utm_audience
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),40,General traffic,186,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),40,General traffic,68,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),40,General traffic,53,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),40,General traffic,34,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),39,General traffic,166,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),39,General traffic,28,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),39,General traffic,12,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,182,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,139,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,132,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,42,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,35,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),38,General traffic,26,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,152,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,152,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,137,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,33,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,25,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),37,General traffic,20,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),36,General traffic,144,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),36,General traffic,117,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),36,General traffic,55,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),36,General traffic,0,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),35,General traffic,153,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),35,General traffic,147,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),35,General traffic,195,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),35,General traffic,132,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),35,General traffic,49,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,187,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,180,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,173,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,150,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,138,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,46,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),34,General traffic,38,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,179,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,145,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,131,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,116,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,105,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,105,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,90,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,75,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,41,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),33,General traffic,27,NA,NA
