Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-08-16,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73.0
2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0.0
2022-08-29,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0.0
2022-06-09,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,50.0
2022-08-03,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-08-23,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0.0
2022-06-14,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0.0
2022-09-05,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0.0
2022-08-30,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0.0
2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184.0
2022-05-05,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105.0
2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-27,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0.0
2022-10-13,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0.0
2022-05-31,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,4,0,1403.0
2022-09-09,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-05-03,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-09-25,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0.0
2022-07-02,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0.0
2022-06-04,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-07-23,4,CloserTwins,Competitors,Domain Display,NA,Campaign,3,0,0.0
2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-07-30,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0.0
2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0.0
2022-06-30,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7.0
2022-09-09,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0.0
2022-07-03,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0.0
2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,36.9999999999999
2022-04-16,6,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0.0
2022-04-29,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,0.0
2022-05-31,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0.0
