Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),18.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-04-02,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-04-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-04-03,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),14.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Form Submission,5.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Start Closing More,7.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Form Submission,3.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Home Page Video Play,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),10.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Form Submission,3.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),16.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),12.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Start Closing More,6.0,General traffic,NA
2022-04-09,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-04-09,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-04-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
